#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T14:30:00Z,10098.845058823528,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T15:00:00Z,8742.03771355932,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T15:30:00Z,8295.095652542372,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T16:00:00Z,9637.383818644066,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T16:30:00Z,9004.385579661019,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T17:00:00Z,9242.012005084747,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T17:30:00Z,9200.744288135595,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T18:00:00Z,10368.371186440678,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T18:30:00Z,9878.315550847452,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T19:00:00Z,9995.02659322034,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T19:30:00Z,9872.856050847457,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T20:00:00Z,9757.478203389837,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T20:30:00Z,8936.213435593221,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T21:00:00Z,8353.323303389832,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T21:30:00Z,7676.694628813559,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T22:00:00Z,7169.483981034485,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T22:30:00Z,6246.178510169492,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T23:00:00Z,5233.239720338983,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-23T23:30:00Z,4640.3882830508455,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T00:00:00Z,5209.490161016946,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T00:30:00Z,4747.266910344828,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T01:00:00Z,4566.3110067796615,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T01:30:00Z,4426.453605357142,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T02:00:00Z,4733.462036842105,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T02:30:00Z,5469.999824137932,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T03:00:00Z,4609.159534545453,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T03:30:00Z,4649.8252034482775,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T04:00:00Z,4967.646189830509,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T04:30:00Z,6158.177279661017,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T05:00:00Z,7632.83093898305,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T05:30:00Z,9917.54046779661,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T06:00:00Z,11122.33125423729,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T06:30:00Z,12384.201983050847,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T07:00:00Z,13166.298745762713,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T07:30:00Z,13998.750932203395,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T08:00:00Z,14845.16398305085,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T08:30:00Z,14557.76099999999,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T09:00:00Z,14855.708949152542,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T09:30:00Z,14558.836677966103,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T10:00:00Z,13453.577898305075,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T10:30:00Z,12816.800957627114,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T11:00:00Z,11505.099042372876,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T11:30:00Z,11548.266533898308,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T12:00:00Z,11153.972016949147,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T12:30:00Z,11975.222813559321,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T13:00:00Z,12695.25491525424,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T13:30:00Z,11731.464593220338,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T14:00:00Z,11438.277059322034,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T14:30:00Z,12896.348101694915,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T15:00:00Z,11307.68695762712,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T15:30:00Z,10873.551559322033,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T16:00:00Z,10730.599983050843,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T16:30:00Z,11486.752288135596,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T17:00:00Z,11391.649288135595,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T17:30:00Z,11353.913652542375,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T18:00:00Z,11664.784449152541,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T18:30:00Z,12119.972432203389,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T19:00:00Z,11309.665889830507,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T19:30:00Z,10524.414838983046,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T20:00:00Z,11185.610779661014,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T20:30:00Z,9346.41676440678,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T21:00:00Z,8597.16352881356,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T21:30:00Z,7603.704649152541,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T22:00:00Z,6906.6974724137945,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T22:30:00Z,5743.243016666668,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T23:00:00Z,5193.586701694914,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-24T23:30:00Z,5233.547172881354,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T00:00:00Z,4291.614177966101,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T00:30:00Z,3942.8292413793097,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T01:00:00Z,3777.1698771929828,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T01:30:00Z,3869.805569491525,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T02:00:00Z,3881.6987999999988,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T02:30:00Z,3724.7148362068974,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T03:00:00Z,3426.5683775862067,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T03:30:00Z,3584.9693135593225,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T04:00:00Z,4079.4285137931033,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T04:30:00Z,6148.278501694915,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T05:00:00Z,7363.101684745762,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T05:30:00Z,10463.845652542375,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T06:00:00Z,11284.721610169496,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T06:30:00Z,12242.029627118642,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T07:00:00Z,13287.357694915256,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T07:30:00Z,13972.56996610169,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T08:00:00Z,13628.779118644074,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T08:30:00Z,15406.129766666663,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T09:00:00Z,14469.031932203385,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T09:30:00Z,14311.365305084744,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T10:00:00Z,13767.635186440677,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T10:30:00Z,12870.589508474577,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T11:00:00Z,11620.271838983053,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T11:30:00Z,11627.031694915253,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T12:00:00Z,12122.861983050843,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T12:30:00Z,11895.947703389831,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T13:00:00Z,12614.81361016949,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T13:30:00Z,13158.328110169496,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T14:00:00Z,11898.326661016948,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T14:30:00Z,11082.651262711865,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T15:00:00Z,11218.617745762711,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T15:30:00Z,10136.113118644065,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T16:00:00Z,9919.294542372883,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T16:30:00Z,9950.563627118641,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T17:00:00Z,10182.63648305085,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T17:30:00Z,10215.447711864403,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T18:00:00Z,10215.925449152544,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T18:30:00Z,11265.506686440674,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T19:00:00Z,10894.577389830507,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T19:30:00Z,10692.359923728813,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T20:00:00Z,11272.16630508475,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T20:30:00Z,9426.59949491525,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T21:00:00Z,8511.924516949151,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T21:30:00Z,7773.938638983047,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T22:00:00Z,6802.449918965519,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T22:30:00Z,5863.786518333335,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T23:00:00Z,5130.70026779661,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-25T23:30:00Z,4397.772023728813,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T00:00:00Z,3967.572993103449,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T00:30:00Z,3606.0696203389834,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T01:00:00Z,4382.841815789474,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T01:30:00Z,4248.450365517239,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T02:00:00Z,4503.770562068966,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T02:30:00Z,4059.9649448275854,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T03:00:00Z,4080.630060714286,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T03:30:00Z,5081.149160344827,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T04:00:00Z,5563.973159322034,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T04:30:00Z,6716.55430677966,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T05:00:00Z,7841.287727118645,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T05:30:00Z,11179.141915254242,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T06:00:00Z,11797.669898305085,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T06:30:00Z,12223.565508474578,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T07:00:00Z,12962.913525423728,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T07:30:00Z,13643.531389830508,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T08:00:00Z,13924.97572881356,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T08:30:00Z,14480.031254237289,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T09:00:00Z,14726.104491525426,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T09:30:00Z,15249.20077966102,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T10:00:00Z,14840.451491525428,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T10:30:00Z,13791.447288135594,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T11:00:00Z,13359.319728813553,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T11:30:00Z,13428.145423728813,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T12:00:00Z,13076.97742372881,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T12:30:00Z,13424.243203389835,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T13:00:00Z,13526.866576271184,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T13:30:00Z,13422.817016949153,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T14:00:00Z,12807.865016949148,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T14:30:00Z,12595.33318644068,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T15:00:00Z,10566.377474576271,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T15:30:00Z,9765.152279661017,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T16:00:00Z,9594.807364406779,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T16:30:00Z,10947.616957627117,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T17:00:00Z,10198.999194915257,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T17:30:00Z,10007.993398305083,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T18:00:00Z,10998.90284745763,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T18:30:00Z,11078.090245762714,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T19:00:00Z,10400.728669491526,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T19:30:00Z,11363.715000000004,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T20:00:00Z,10689.32161864407,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T20:30:00Z,9200.078466101695,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T21:00:00Z,9152.70883559322,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T21:30:00Z,7975.97278135593,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T22:00:00Z,7684.1118310344855,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T22:30:00Z,6394.794111666665,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T23:00:00Z,5099.967572881354,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-26T23:30:00Z,5447.56832542373,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T00:00:00Z,4918.733018644069,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T00:30:00Z,4603.282727586206,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T01:00:00Z,4583.872482456141,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T01:30:00Z,3628.4376593220345,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T02:00:00Z,3554.717214035088,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T02:30:00Z,3486.147448275862,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T03:00:00Z,3542.7932431034487,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T03:30:00Z,3666.898867796611,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T04:00:00Z,3848.5967322033894,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T04:30:00Z,5595.682769491525,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T05:00:00Z,7046.064415254238,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T05:30:00Z,9742.263010169492,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T06:00:00Z,11340.357322033899,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T06:30:00Z,12347.856864406773,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T07:00:00Z,13088.538372881354,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T07:30:00Z,14559.123440677971,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T08:00:00Z,14377.25552542373,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T08:30:00Z,14378.590200000004,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T09:00:00Z,13960.42740677966,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T09:30:00Z,13928.48766101695,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T10:00:00Z,12933.944237288133,value,autobuses_flow
,,0,2022-10-23T14:04:24.6065254Z,2022-11-22T14:04:24.6065254Z,2022-10-27T10:30:00Z,12159.852694915255,value,autobuses_flow
